domain,BCS,ID,literals,def,usage,hypernymID,hypernym_literals,hypernym_def,hypernym_usage,Prevod literala,Prevod def
medicine,,ENG30-14327543-n,histamine headache; cluster headache,a painful recurring headache associated with the release of histamine from cells,-,ENG30-14326607-n,headache; head ache; cephalalgia,pain in the head caused by dilation of cerebral arteries or muscle contractions or a reaction to drugs,-,,
medicine,,ENG30-14289942-n,scorch; singe,a surface burn,-,ENG30-14289590-n,burn,an injury cause by exposure to heat or chemicals or radiation,-,,
medicine,,ENG30-09782855-n,alexic,a person with alexia,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,
medicine,,ENG30-02380980-v,chicken out; back off; pull out; back down; bow out,remove oneself from an obligation,1 : He bowed out when he heard how much work was involved,ENG30-01766952-v,retire; withdraw,lose interest,1 : he retired from life when his wife died,,
medicine,,ENG30-14159318-n,clinodactyly,a congenital defect in which one or more toes or fingers are abnormally positioned,-,ENG30-14465048-n,birth defect; congenital anomaly; congenital defect; congenital disorder; congenital abnormality,a defect that is present at birth,-,,
medicine,,ENG30-05724694-n,pain; painful sensation,a somatic sensation of acute discomfort,1 : as the intensity increased the sensation changed from tickle to pain,ENG30-05721180-n,somesthesia; somaesthesia; somatesthesia; somatic sensation,the perception of tactual or proprioceptive or gut sensations,1 : he relied on somesthesia to warn him of pressure changes,,
medicine,,ENG30-00003316-v,aspirate,suck in air,-,ENG30-00005041-v,inhale; inspire; breathe in,draw in (air),1 : The lung cancer patient cannot inspire air very well | 2 : Inhale deeply | 3 : inhale the fresh mountain air | 4 : The patient has trouble inspiring,,
medicine,,ENG30-14165240-n,hemolytic anemia; haemolytic anaemia,anemia resulting from destruction of erythrocytes,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,
medicine,,ENG30-01426375-a,epidemic,(especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously,1 : an epidemic outbreak of influenza,,-,-,-,,
medicine,,ENG30-02542878-a,autistic,characteristic of or suffering from autism,-,,-,-,-,,
medicine,,ENG30-06065208-n,urology; urogenital medicine,the branch of medicine that deals with the diagnosis and treatment of disorders of the urinary tract or urogenital system,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,,
medicine,,ENG30-13551396-n,reuptake; re-uptake,a process of using up or consuming again,1 : psychopharmacologists discovered that amine reuptake is a process that inactivates monoamine neurotransmitters,ENG30-13571580-n,uptake,a process of taking up or using up or consuming,1 : they developed paper napkins with greater uptake of liquids,,
medicine,,ENG30-14326190-n,dysmenorrhea,painful menstruation,-,ENG30-14322699-n,pain; hurting,a symptom of some physical hurt or disorder,1 : the patient developed severe pain and distension,,
medicine,,ENG30-02889157-a,nonsurgical,not surgical,1 : nonsurgical techniques,,-,-,-,,
medicine,,ENG30-14121667-n,cretinism,severe hypothyroidism resulting in physical and mental stunting,-,ENG30-14121276-n,hypothyroidism,an underactive thyroid gland; a glandular disorder resulting from insufficient production of thyroid hormones,-,,
medicine,,ENG30-00697614-n,cryocautery,application of a substance that destroys tissue by freezing it,-,ENG30-00668112-n,cautery; cauterization; cauterisation,the act of coagulating blood and destroying tissue with a hot iron or caustic agent or by freezing,-,,
medicine,,ENG30-05666324-n,immunofluorescence,(immunology) a technique that uses antibodies linked to a fluorescent dye in order to study antigens in a sample of tissue,-,ENG30-05665146-n,technique,a practical method or art applied to some particular task,-,,
medicine,,ENG30-14293352-n,fatigue fracture; stress fracture,fracture resulting from excessive activity rather than a specific injury,-,ENG30-14292090-n,fracture; break,breaking of hard tissue such as bone,1 : the break seems to have been caused by a fall | 2 : it was a nasty fracture,,
medicine,,ENG30-06049850-n,endocrinology,the branch of medicine dealing with the endocrine glands and their secretions,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,,
medicine,,ENG30-14265205-n,glanders,a destructive and contagious bacterial disease of horses that can be transmitted to humans,-,ENG30-14276649-n,zoonosis; zoonotic disease,an animal disease that can be transmitted to humans,-,,
medicine,,ENG30-14333721-n,postnasal drip,chronic secretion of mucus from the rear of the nasal cavity into the nasopharynx,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,
medicine,,ENG30-02914902-a,cardiologic,of or relating to or used in or practicing cardiology,1 : cardiologic evidence,,-,-,-,,
medicine,,ENG30-14327266-n,stomachache; stomach ache; bellyache; gastralgia,an ache localized in the stomach or abdominal region,-,ENG30-14323683-n,ache; aching,a dull persistent (usually moderately intense) pain,-,,
medicine,,ENG30-06064345-n,therapeutics,branch of medicine concerned with the treatment of disease,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,,
medicine,,ENG30-14057569-n,carpal tunnel syndrome,a disorder caused by compression of a nerve in the carpal tunnel (where the nerve passes through the wrist); characterized by discomfort and weakness in the hand,-,ENG30-14109691-n,nerve entrapment,repeated and long-term nerve compression (usually in nerves near joints that are subject to inflammation or swelling),-,,
medicine,,ENG30-14221741-n,acanthosis,an abnormal but benign thickening of the prickle-cell layer of the skin (as in psoriasis),-,ENG30-14219661-n,skin disease; disease of the skin; skin disorder; skin problem; skin condition,a disease affecting the skin,-,,
medicine,,ENG30-14068177-n,insulin shock; insulin reaction,hypoglycemia produced by excessive insulin in the system causing coma,-,ENG30-14067076-n,shock,(pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor,1 : loss of blood is an important cause of shock,,
medicine,,ENG30-02711194-a,dental,of or relating to dentistry,1 : dental student,,-,-,-,,
medicine,,ENG30-02861206-a,pathological; pathologic,of or relating to the practice of pathology,1 : pathological laboratory,,-,-,-,,
medicine,,ENG30-14065332-n,ague,a fit of shivering,-,ENG30-14061805-n,illness; unwellness; malady; sickness,impairment of normal physiological function affecting part or all of an organism,-,,
medicine,,ENG30-08047747-n,Red Cross,an international organization that cares for the sick or wounded or homeless in wartime,-,ENG30-08009834-n,nongovernmental organization; NGO,an organization that is not part of the local or state or federal government,-,,
medicine,,ENG30-00666884-n,arthroscopy,a minimally invasive operation to repair a damaged joint; the surgeon examines the joint with an arthroscope while making repairs through a small incision,-,ENG30-00671351-n,operation; surgery; surgical operation; surgical procedure; surgical process,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,1 : he died while undergoing surgery | 2 : they will schedule the operation as soon as an operating room is available,,
medicine,,ENG30-14091126-n,apraxia,inability to make purposeful movements,-,ENG30-14085708-n,brain disorder; encephalopathy; brain disease,any disorder or disease of the brain,-,,
medicine,,ENG30-14224757-n,dermatitis,inflammation of the skin; skin becomes itchy and may develop blisters,-,ENG30-14226056-n,eczema,generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages,-,,
medicine,,ENG30-14126181-n,-,fungal infection of the face and neck,-,ENG30-14125466-n,tinea; ringworm; roundworm,infections of the skin or nails caused by fungi and appearing as itching circular patches,-,,
medicine,,ENG30-14158812-n,hypobetalipoproteinemia,a hereditary disorder characterized by low levels of beta-lipoproteins and lipids and cholesterol,-,ENG30-14270614-n,hypolipoproteinemia,any of various disorders of lipoprotein and cholesterol metabolism that result in low levels of lipoprotein and cholesterol in the circulating blood,-,,
medicine,,ENG30-14142326-n,tsutsugamushi disease; scrub typhus,transmitted by larval mites and widespread in Asia,-,ENG30-14140781-n,rickettsial disease; rickettsiosis,infectious disease caused by ticks or mites or body lice infected with rickettsial bacteria,-,,
medicine,,ENG30-01134190-a,debilitated; enfeebled; infirm; seedy,weak and feeble,1 : I’m feeling seedy today,,-,-,-,,
medicine,,ENG30-00231161-n,induced abortion,a deliberate termination of pregnancy,-,ENG30-00230324-n,abortion,termination of pregnancy,-,,
medicine,,ENG30-00701755-n,desensitization technique; desensitisation technique; desensitization procedure; desensitisation procedure; systematic desensitization; systematic desensitisation,a technique used in behavior therapy to treat phobias and other behavior problems involving anxiety; client is exposed to the threatening situation under relaxed conditions until the anxiety reaction is extinguished,-,ENG30-00700979-n,behavior therapy; behavior modification,psychotherapy that seeks to extinguish or inhibit abnormal or maladaptive behavior by reinforcing desired behavior and extinguishing undesired behavior,-,,
medicine,,ENG30-14295829-n,diverticulum,a herniation through the muscular wall of a tubular organ (especially the colon),-,ENG30-14295389-n,hernia; herniation,rupture in smooth muscle tissue through which a bodily structure protrudes,-,,
medicine,,ENG30-14354257-n,proctitis,inflammation of the rectum; marked by bloody stools and a frequent urge to defecate; frequently associated with Crohn`s disease or ulcerative colitis,-,ENG30-14336539-n,inflammation; redness; rubor,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat,-,,
medicine,,ENG30-14239425-n,malignant tumor; malignant neoplasm; metastatic tumor,a tumor that is malignant and tends to spread to other parts of the body,-,ENG30-14235200-n,tumor; tumour; neoplasm,an abnormal new mass of tissue that serves no purpose,-,,
medicine,,ENG30-14274905-n,pip,a disease of poultry,-,ENG30-14253124-n,animal disease,a disease that typically does not affect human beings,-,,
medicine,,ENG30-14222112-n,acne,an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones,-,ENG30-14171682-n,inflammatory disease,a disease characterized by inflammation,-,,
medicine,,ENG30-00706605-n,electroconvulsive therapy; electroshock; electroshock therapy; ECT,the administration of a strong electric current that passes through the brain to induce convulsions and coma,-,ENG30-00706371-n,shock therapy; shock treatment,treatment of certain psychotic states by the administration of shocks that are followed by convulsions,-,,
medicine,,ENG30-02829711-a,leprous,relating to or resembling or having leprosy,-,,-,-,-,,
medicine,,ENG30-02108198-a,sensitizing; sensitising,making susceptible or sensitive to either physical or emotional stimuli,-,,-,-,-,,
medicine,,ENG30-02227127-v,mummify,remove the organs and dry out (a dead body) in order to preserve it,1 : Th Egyptians mummified their pharaos,ENG30-02226981-v,embalm,preserve a dead body,-,,
medicine,,ENG30-03096747-a,parenteral,administered by means other than through the alimentary tract (as by intramuscular or intravenous injection),-,,-,-,-,,
medicine,,ENG30-14054262-n,achlorhydria,an abnormal deficiency or absence of free hydrochloric acid in the gastric juice; often associated with severe anemias and cancer of the stomach,-,ENG30-14052403-n,disorder; upset,condition in which there is a disturbance of normal functioning,1 : everyone gets stomach upsets from time to time | 2 : the doctor prescribed some medicine for the disorder,,
medicine,,ENG30-14167123-n,microcytic anemia; microcytic anaemia,anemia in which the average size of erythrocytes is smaller than normal,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,
medicine,,ENG30-01173697-a,angry,severely inflamed and painful,1 : an angry sore,,-,-,-,,
medicine,,ENG30-01018359-a,apractic; apraxic,"having uncoordinated muscular movements, symptomatic of a CNS disorder",-,,-,-,-,,
medicine,,ENG30-02642394-a,arthralgic,of or relating to arthralgia,-,,-,-,-,,
medicine,,ENG30-00677434-n,radical hysterectomy; panhysterectomy,surgical removal of the uterus and the ovaries and oviducts and cervix and related lymph nodes,-,ENG30-00677174-n,hysterectomy,surgical removal of the uterus,-,,
medicine,,ENG30-14230800-n,pemphigus,a skin disease characterized by large thin-walled blisters (bullae) arising from normal skin or mucous membrane,-,ENG30-14219661-n,skin disease; disease of the skin; skin disorder; skin problem; skin condition,a disease affecting the skin,-,,
medicine,,ENG30-10387936-n,outpatient,a patient who does not reside in the hospital where he is being treated,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,
medicine,,ENG30-14364217-n,sword-cut,a scar from a cut made by a sword,-,ENG30-14363483-n,scar; cicatrix; cicatrice,a mark left (usually on the skin) by the healing of injured tissue,-,,
medicine,,ENG30-06052300-n,internal medicine; general medicine,the branch of medicine that deals with the diagnosis and (nonsurgical) treatment of diseases of the internal organs (especially in adults),-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,,
medicine,,ENG30-03072966-a,homeopathic,of or relating to the practice of homeopathy,1 : homeopathic medicine,,-,-,-,,
medicine,,ENG30-14299336-n,sprain,a painful injury to a joint caused by a sudden wrenching of its ligaments,-,ENG30-14299070-n,wrench; twist; pull,a sharp strain on muscles or ligaments,1 : he was sidelined with a hamstring pull | 2 : the wrench to his knee occurred as he fell,,
medicine,,ENG30-14372286-n,the shits; the trots,obscene terms for diarrhea,-,ENG30-14371913-n,diarrhea; diarrhoea; looseness of the bowels,frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor,-,,
medicine,,ENG30-14221601-n,acantholysis,a breakdown of a cell layer in the epidermis (as in pemphigus),-,ENG30-14219661-n,skin disease; disease of the skin; skin disorder; skin problem; skin condition,a disease affecting the skin,-,,
medicine,,ENG30-14266521-n,-,a purplish discoloration of the mucous membrane of the vagina that occurs early in pregnancy,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,
medicine,,ENG30-14546432-n,fitness; physical fitness; good shape; good condition,good physical condition; being in shape or in condition,-,ENG30-13923440-n,condition; shape,the state of (good) health (especially in the phrases `in condition` or `in shape` or `out of condition` or `out of shape`),-,,
medicine,,ENG30-00832626-n,cardiopulmonary resuscitation; CPR; cardiac resuscitation; mouth-to-mouth resuscitation; kiss of life,an emergency procedure consisting of external cardiac massage and artificial respiration; the first treatment for a person who has collapsed and has no pulse and has stopped breathing; attempts to restore circulation of the blood and prevent death or brain damage due to lack of oxygen,-,ENG30-00177783-n,emergency procedure,(medicine) a procedure adopted to meet an emergency (especially a medical emergency),-,,
medicine,,ENG30-14258176-n,angiitis,inflammation of a blood vessel or lymph duct,-,ENG30-14071419-n,angiopathy,any disease of the blood vessels or lymph ducts,-,,
medicine,,ENG30-00002942-v,hyperventilate,breathe excessively hard and fast,1 : The mountain climber started to hyperventilate,ENG30-00001740-v,breathe; take a breath; respire; suspire,"draw air into, and expel out of, the lungs",1 : The patient is respiring | 2 : I can breathe better when the air is clean,,
medicine,,ENG30-14567956-n,steatorrhea,the presence of greater than normal amounts of fat in the feces which are frothy and foul smelling and floating; a symptom of disorders of fat metabolism and malabsorption syndrome,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,
medicine,,ENG30-14316714-n,edema; oedema; hydrops; dropsy,swelling from excessive accumulation of serous fluid in tissue,-,ENG30-14315192-n,swelling; puffiness; lump,abnormal protuberance or localized enlargement,-,,
medicine,,ENG30-14214486-n,cleft palate,a congenital fissure of the hard palate,-,ENG30-14465048-n,birth defect; congenital anomaly; congenital defect; congenital disorder; congenital abnormality,a defect that is present at birth,-,,
medicine,,ENG30-14507651-n,porphyria,a genetic abnormality of metabolism causing abdominal pains and mental confusion,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,
medicine,,ENG30-02818958-a,tubercular,characterized by the presence of tuberculosis lesions or tubercles,1 : tubercular leprosy,,-,-,-,,
medicine,,ENG30-14081297-n,ulatrophia,recession of the gums,-,ENG30-14080622-n,periodontal disease; periodontitis,a disease that attacks the gum and bone and around the teeth,-,,
medicine,,ENG30-14320016-n,jaundice of the newborn; physiological jaundice of the newborn; icterus neonatorum,yellowish appearance in newborn infants; usually subsides spontaneously,-,ENG30-14319684-n,jaundice; icterus,yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia,-,,
medicine,,ENG30-00685349-n,minor surgery,any surgical procedure that does not involve anesthesia or respiratory assistance,-,ENG30-00671351-n,operation; surgery; surgical operation; surgical procedure; surgical process,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,1 : he died while undergoing surgery | 2 : they will schedule the operation as soon as an operating room is available,,
medicine,,ENG30-14017332-n,depletion,the state of being depleted,-,ENG30-14015731-n,temporary state,a state that continues for a limited time,-,,
medicine,,ENG30-14352334-n,pancreatitis,inflammation of the pancreas; usually marked by abdominal pain,-,ENG30-14336539-n,inflammation; redness; rubor,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat,-,,
medicine,,ENG30-01178458-a,varicose,abnormally swollen or knotty,1 : varicose veins,,-,-,-,,
medicine,,ENG30-03031733-a,Freudian,of or relating to Sigmund Freud or his psychoanalytic ideas,1 : Freudian theories,,-,-,-,,
medicine,,ENG30-14241968-n,lymphoma,a neoplasm of lymph tissue that is usually malignant; one of the four major types of cancer,-,ENG30-14239918-n,cancer; malignant neoplastic disease,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,-,,
medicine,,ENG30-14254102-n,actinomycosis,disease of cattle that can be transmitted to humans; results from infection with actinomycetes; characterized by hard swellings that exude pus through long sinuses,-,ENG30-14276649-n,zoonosis; zoonotic disease,an animal disease that can be transmitted to humans,-,,
medicine,,ENG30-01018788-a,crippled; halt; halting; lame; game,disabled in the feet or legs,1 : a game leg | 2 : a crippled soldier,,-,-,-,,
medicine,,ENG30-02691028-a,chancroidal,of or relating to or having chancroids,-,,-,-,-,,
medicine,,ENG30-14312481-n,head,the tip of an abscess (where the pus accumulates),-,ENG30-13902482-n,point; tip; peak,a V shape,1 : the cannibal’s teeth were filed to sharp points,,
medicine,,ENG30-14222788-n,atopic dermatitis; atopic eczema,a severe form of dermatitis characterized by atopy,-,ENG30-14224757-n,dermatitis,inflammation of the skin; skin becomes itchy and may develop blisters,-,,
medicine,,ENG30-14112255-n,heart failure; coronary failure,inability of the heart to pump enough blood to sustain normal bodily functions,-,ENG30-14059663-n,failure,loss of ability to function normally,1 : kidney failure,,
medicine,,ENG30-14089240-n,musicogenic epilepsy,reflex epilepsy induced by music,-,ENG30-14090245-n,reflex epilepsy,a form of epilepsy in which attacks are induced by peripheral stimulation,-,,
medicine,,ENG30-14318360-n,tumidity; tumidness,slight swelling of an organ or part,-,ENG30-14315192-n,swelling; puffiness; lump,abnormal protuberance or localized enlargement,-,,
medicine,,ENG30-00683590-n,lobectomy,surgical removal of a lobe from any organ of the body (as the lung or brain),-,ENG30-00393369-n,ablation; extirpation; cutting out; excision,surgical removal of a body part or tissue,-,,
medicine,,ENG30-14206477-n,synechia,adhesions between the iris and the lens or cornea resulting from trauma or eye surgery of as a complication of glaucoma or cataract; can lead to blindness,-,ENG30-14206224-n,adhesion,abnormal union of bodily tissues; most common in the abdomen,-,,
medicine,,ENG30-14355459-n,salpingitis,inflammation of a Fallopian tube (usually the result of infection spreading from the vagina or uterus) or of a Eustachian tube,-,ENG30-14336539-n,inflammation; redness; rubor,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat,-,,
medicine,,ENG30-14090727-n,tonic epilepsy,epilepsy in which the body is rigid during the seizure,-,ENG30-14086143-n,epilepsy,a disorder of the central nervous system characterized by loss of consciousness and convulsions,-,,
medicine,,ENG30-00662340-n,chemotherapy,the use of chemical agents to treat or control disease (or mental illness),-,ENG30-00661091-n,therapy,(medicine) the act of caring for someone (as by medication or remedial training etc.),1 : heat therapy gave the best relief | 2 : the quarterback is undergoing treatment for a knee injury | 3 : he tried every treatment the doctors suggested,,
medicine,,ENG30-14136544-n,tuberculoid leprosy,leprosy characterized by tumors in the skin and cutaneous nerves,-,ENG30-14136187-n,tuberculoid leprosy,chronic granulomatous communicable disease occurring in tropical and subtropical regions; characterized by inflamed nodules beneath the skin and wasting of body parts; caused by the bacillus Mycobacterium leprae,-,,
medicine,,ENG30-02948363-a,anastomotic,of or relating to or exhibiting anastomosis,-,,-,-,-,,
medicine,,ENG30-06062076-n,podiatry; chiropody,the branch of medicine concerned with the feet,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,,
medicine,,ENG30-10465635-n,presbyope,a person with presbyopia; someone who is farsighted resulting from the progressive loss with aging of the elasticity of the crystalline lens,-,ENG30-10055490-n,visually handicapped person,someone handicapped by inferior vision,-,,
medicine,,ENG30-14152924-n,ametria,congenital absence of the uterus,-,ENG30-14465048-n,birth defect; congenital anomaly; congenital defect; congenital disorder; congenital abnormality,a defect that is present at birth,-,,
medicine,,ENG30-01357206-a,corroborant,used of a medicine that is strengthening,-,,-,-,-,,
medicine,,ENG30-14368805-n,hyperplasia,abnormal increase in number of cells,-,ENG30-14365950-n,dysplasia,abnormal development (of organs or cells) or an abnormal structure resulting from such growth,-,,
medicine,,ENG30-14059928-n,glandular disease; gland disease; glandular disorder; adenosis,a disorder of the glands of the body,-,ENG30-14052403-n,disorder; upset,condition in which there is a disturbance of normal functioning,1 : everyone gets stomach upsets from time to time | 2 : the doctor prescribed some medicine for the disorder,,
medicine,,ENG30-03073110-a,allopathic,of or relating to the practice of allopathy,1 : allopathic remedies,,-,-,-,,
